estado,Marque todas las plataformas,¿Cuál es la naturaleza legal,¿Cuáles son las temáticas,¿Cuáles son las fuentes de ingresos,¿El proyecto u organización periodística que refiere ha enfrentado
Aragua,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,Cuenta en Instagram,No sabe / Prefiere no responder,"Economía y desarrollo local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,No ha enfrentado este tipo de situaciones
Aragua,"Cuenta en Instagram, Cuenta en Facebook, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Comunitario,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Aragua,"Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Comunitario,"Arte y cultura local, Deporte local, Economía y desarrollo local","Donaciones de empresas, Fondos gubernamentales, Publicidad",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Aragua,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Comunitario,"Arte y cultura local, Deporte local, Economía y desarrollo local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Portal web de noticias",Proyecto u organización sin figura jurídica,"Economía y desarrollo local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Subvenciones o financiamiento internacional,No ha enfrentado este tipo de situaciones
Aragua,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en Youtube",Estatal,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Fondos gubernamentales, Publicidad",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Aragua,"Cuenta en Instagram, Cuenta en Facebook, Radio (AM o FM), Radio transmitida vía web",Comunitario,"Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en X, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Aragua,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Comunitario,"Arte y cultura local, Deporte local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Aragua,"Cuenta en Instagram, Cuenta en Facebook, Radio (AM o FM), Radio transmitida vía web",Estatal,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Fondos gubernamentales,Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
